date,closing price
2021-03-29,64.5
2021-03-30,63.77
2021-03-31,64
2021-04-01,64.55
2021-04-05,66.54
2021-04-06,65.56
2021-04-07,66.25
2021-04-08,67.05
2021-04-09,68.26
2021-04-12,65.405
2021-04-13,65.22
2021-04-14,64.19
2021-04-15,65.02
2021-04-16,64.75
2021-04-19,63.63
2021-04-20,62.7
2021-04-21,63.7
2021-04-22,62.57
2021-04-23,59.24
2021-04-26,58.76
2021-04-27,57.97
2021-04-28,57.62
2021-04-29,58.28
2021-04-30,57.53
2021-05-03,57.26
2021-05-04,56.9
2021-05-05,56.85
2021-05-06,57.19
2021-05-07,57.67
2021-05-10,55.97
2021-05-11,55.04
2021-05-12,53.62
2021-05-13,54.01
2021-05-14,55.35
2021-05-17,55.33
2021-05-18,54.84
2021-05-19,55.36
2021-05-20,55.95
2021-05-21,56.08
2021-05-24,56.96
2021-05-25,56.87
2021-05-26,56.92
2021-05-27,57.73
2021-05-28,57.12
2021-06-01,56.89
2021-06-02,57.48
2021-06-03,56.24
2021-06-04,57.37
2021-06-07,57.09
2021-06-08,57
2021-06-09,57
2021-06-10,57.38
2021-06-11,57.85
2021-06-14,58.19
2021-06-15,57.99
2021-06-16,57.22
2021-06-17,57.18
2021-06-18,55.67
2021-06-21,55.87
2021-06-22,55.87
2021-06-23,55.26
2021-06-24,56.07
2021-06-25,55.91
2021-06-28,57.48
2021-06-29,56.75
2021-06-30,56.14
2021-07-01,56.01
2021-07-02,56.76
2021-07-06,56.09
2021-07-07,55.96
2021-07-08,55.39
2021-07-09,55.99
2021-07-12,56.73
2021-07-13,56.87
2021-07-14,56.52
2021-07-15,55.81
2021-07-16,54.97
2021-07-19,54.64
2021-07-20,55.24
2021-07-21,56.23
2021-07-22,55.96
2021-07-23,53
2021-07-26,54.31
2021-07-27,53.18
2021-07-28,53.07
2021-07-29,53.7
2021-07-30,53.72
2021-08-02,53.68
2021-08-03,54.06
2021-08-04,53.9
2021-08-05,53.89
2021-08-06,53.92
2021-08-09,54.05
2021-08-10,53.94
2021-08-11,54.14
2021-08-12,53.54
2021-08-13,53.49
2021-08-16,53.47
2021-08-17,52.69
2021-08-18,52.19
2021-08-19,52.44
2021-08-20,52.01
2021-08-23,53.23
2021-08-24,53.81
2021-08-25,53.81
2021-08-26,53.13
2021-08-27,53.89
2021-08-30,53.94
2021-08-31,54.06
2021-09-01,53.67
2021-09-02,53.73
2021-09-03,53.51
2021-09-07,53.65
2021-09-08,53.57
2021-09-09,53.4
2021-09-10,53.84
2021-09-13,54.99
2021-09-14,54.52
2021-09-15,55.12
2021-09-16,54.83
2021-09-17,54.26
2021-09-20,52.98
2021-09-21,52.87
2021-09-22,53.5
2021-09-23,54.03
2021-09-24,54.22
2021-09-27,54.66
2021-09-28,54
2021-09-29,53.49
2021-09-30,53.28
2021-10-01,53.86
2021-10-04,53.47
2021-10-05,53.95
2021-10-06,53.98
2021-10-07,54.18
2021-10-08,53.81
2021-10-11,53.44
2021-10-12,52.17
2021-10-13,52.26
2021-10-14,53.9
2021-10-15,54.46
2021-10-18,54.47
2021-10-19,55.21
2021-10-20,55.37
2021-10-21,56
2021-10-22,49.46
2021-10-25,49.41
2021-10-26,48.28
2021-10-27,47.89
2021-10-28,48.08
2021-10-29,49
2021-11-01,49.55
2021-11-02,49.86
2021-11-03,50.39
2021-11-04,50.31
2021-11-05,50.92
2021-11-08,51.55
2021-11-09,51.2
2021-11-10,50.76
2021-11-11,50.53
2021-11-12,50.31
2021-11-15,50.32
2021-11-16,50.61
2021-11-17,50.23
2021-11-18,49.68
2021-11-19,49.52
2021-11-22,49.83
2021-11-23,49.1
2021-11-24,49.76
2021-11-26,48.78
2021-11-29,50
2021-11-30,49.2
2021-12-01,48.6
2021-12-02,49.5
2021-12-03,49.25
2021-12-06,50.99
2021-12-07,52.57
2021-12-08,51.75
2021-12-09,50.48
2021-12-10,50.59
2021-12-13,50
2021-12-14,49.7
2021-12-15,50.67
2021-12-16,50.83
2021-12-17,50.62
2021-12-20,49.6
2021-12-21,50.77
2021-12-22,50.97
2021-12-23,51.31
2021-12-27,51.94
2021-12-28,51.76
2021-12-29,51.83
2021-12-30,51.74
2021-12-31,51.5
2022-01-03,53.21
2022-01-04,53.14
2022-01-05,53.87
2022-01-06,54.01
2022-01-07,53.44
2022-01-10,55.21
2022-01-11,55.91
2022-01-12,55.74
2022-01-13,54.94
2022-01-14,55.7
2022-01-18,54.76
2022-01-19,53.62
2022-01-20,52.04
2022-01-21,52.04
2022-01-24,51.94
2022-01-25,51
2022-01-26,51.69
2022-01-27,48.05
2022-01-28,47.73
2022-01-31,48.82
2022-02-01,48.95
2022-02-02,49.51
2022-02-03,48.28
2022-02-04,48.01
2022-02-07,48.18
2022-02-08,48.81
2022-02-09,49.91
2022-02-10,48.86
2022-02-11,47.63
2022-02-14,47.58
2022-02-15,48.44
2022-02-16,48.23
2022-02-17,47.57
2022-02-18,45.04
2022-02-22,44.69
2022-02-23,44.65
2022-02-24,46.72
2022-02-25,47.71
2022-02-28,47.7
2022-03-01,46.82
2022-03-02,48.87
2022-03-03,47.93
2022-03-04,48.07
2022-03-07,47.68
2022-03-08,47.5
2022-03-09,47.63
2022-03-10,46.66
2022-03-11,45.83
2022-03-14,44.4
2022-03-15,44.81
2022-03-16,46.63
2022-03-17,47.14
2022-03-18,47.45
2022-03-21,47.39
2022-03-22,48.39
2022-03-23,48.27
2022-03-24,51.62
2022-03-25,51.83
